#C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.23EST20:49:13#
#
#Vmag < 3 & Vmag > 1
#-------------------
#
#Number of objects : 178
#
# # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
#---|-------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1  |* gam01 And              |SB*|02 03 53.95229 +42 19 47.0223          | 4.22 | 3.30 | 2.10 | 1.16 | 0.47 |K2+IIb         | 333|   0
2  |* bet Per                |Al*|03 08 10.1324535 +40 57 20.328013      | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V            |1153|   2
3  |* gam Cyg                |V* |20 22 13.7018357 +40 15 24.044963      | 3.44 | 2.90 | 2.23 | 1.74 | 1.40 |F8Ib           | 555|   0
4  |* alf Cyg                |sg*|20 41 25.91514 +45 16 49.2197          | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia           | 719|   0
5  |* alf Cas                |PM*|00 40 30.4410679 +56 32 14.392170      | 4.52 | 3.40 | 2.23 | 1.45 | 0.85 |K0-IIIa        | 320|   0
6  |* bet Cas                |dS*|00 09 10.68518 +59 08 59.2120          | 2.73 | 2.61 | 2.27 | 1.97 | 1.77 |F2III          | 498|   0
7  |* gam Cas                |Be*|00 56 42.5317 +60 43 00.265            | 1.18 | 2.29 | 2.39 | 2.32 | 2.40 |B0.5IVpe       |1141|   1
8  |* del Cas                |Al*|01 25 48.9514709 +60 14 07.022507      | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV           | 247|   0
9  |* gam Per                |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:  | 196|   0
10 |* alf Per                |V* |03 24 19.3700924 +49 51 40.245455      | 2.64 | 2.27 | 1.79 |     ~|     ~|F5Ib           | 804|   1
11 |* del Cyg                |PM*|19 44 58.4785413 +45 07 50.916066      | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |A0IV           | 279|   0
12 |* alf Cep                |PM*|21 18 34.77233 +62 35 08.0681          | 2.770| 2.680| 2.460| 2.22 | 2.11 |A8Vn           | 341|   0
13 |* alf UMi                |cC*|02 31 49.09456 +89 15 50.7923          | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib           | 615|   2
14 |* gam Dra                |*  |17 56 36.36988 +51 29 20.0242          | 5.630| 3.760| 2.230| 1.08 | 0.23 |K5III          | 518|   0
15 |* bet Dra                |*  |17 30 25.9616959 +52 18 04.999351      | 4.43 | 3.79 | 2.81 | 2.12 | 1.64 |G2Ib-IIa       | 394|   0
16 |* eta Dra                |PM*|16 23 59.4906150026 +61 30 51.247636023| 4.35 | 3.65 | 2.74 | 2.12 | 1.66 |G8-IIIab       | 279|   0
17 |* bet UMi                |V* |14 50 42.32580 +74 09 19.8142          | 5.32 | 3.55 | 2.08 | 0.97 | 0.21 |K4-III         | 305|   0
18 |* alf UMa A              |PM*|11 03 43.668632 +61 45 03.72003        |     ~| 3.01 | 1.87 |     ~|     ~|G9III          |  11|   0
19 |* alf UMa                |SB*|11 03 43.67152 +61 45 03.7249          | 3.78 | 2.86 | 1.79 | 0.98 | 0.40 |G9III+A7.5     | 424|   0
20 |* zet01 UMa              |SB*|13 23 55.542873 +54 55 31.30258        | 2.11 | 2.271| 2.220| 2.10 | 2.12 |A1.5Vas        | 299|   0
21 |* eps UMa                |a2*|12 54 01.7495922 +55 57 35.362645      | 1.76 | 1.75 | 1.77 | 1.79 | 1.82 |A1III-IVpkB9   | 455|   0
22 |* bet UMa                |PM*|11 01 50.4765370 +56 22 56.733912      | 2.35 | 2.35 | 2.37 | 2.31 | 2.35 |A1IVps         | 410|   1
23 |* gam UMa                |Em*|11 53 49.8473166 +53 41 41.135025      | 2.440| 2.450| 2.440| 2.44 | 2.47 |A0Ve+K2V       | 381|   0
24 |* eta UMa                |PM*|13 47 32.43776 +49 18 47.7602          | 0.99 | 1.67 | 1.86 | 1.98 | 2.16 |B3V            | 581|   0
25 |* alf Cet                |LP?|03 02 16.77307 +04 05 23.0596          | 6.10 | 4.17 | 2.53 | 1.18 | 0.02 |M1.5IIIa       | 439|   0
26 |* zet Per                |V* |03 54 07.9224751 +31 53 01.081262      | 2.19 | 2.97 | 2.85 | 2.71 | 2.62 |B1Ib           | 816|   0
27 |* eta Tau                |Be*|03 47 29.0765529 +24 06 18.488347      | 2.44 | 2.78 | 2.87 | 2.84 | 2.88 |B7III          | 514|   1
28 |* eps Per                |bC*|03 57 51.2320472 +40 00 36.775143      | 1.71 | 2.71 | 2.89 | 2.96 | 3.14 |B1.5III        | 496|   0
29 |* gam Eri                |LP?|03 58 01.7669489 -13 30 30.669770      | 6.52 | 4.54 | 2.94 | 1.68 | 0.68 |M0III-IIIb     | 171|   0
30 |* eps Aur                |Al*|05 01 58.1290610816 +43 49 23.871349520| 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia           | 558|   0
31 |* iot Aur                |V* |04 56 59.6210887 +33 09 57.958479      | 6.00 | 4.22 | 2.69 | 1.63 | 0.81 |K3II-III       | 264|   0
32 |* bet Eri                |PM*|05 07 50.98549 -05 05 11.2055          | 3.02 | 2.92 | 2.79 | 2.65 | 2.57 |A3IV           | 210|   0
33 |* gam Ori                |V* |05 25 07.86325 +06 20 58.9318          | 0.54 | 1.42 | 1.64 | 1.73 | 1.95 |B2V            | 500|   0
34 |* bet Tau                |PM*|05 26 17.51312 +28 36 26.8262          | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III          | 348|   1
35 |Cl Collinder 69          |OpC|05 35 06 +09 56.0                      |     ~|     ~| 2.8  |     ~|     ~|~              | 231|   0
36 |* eps Ori                |s*b|05 36 12.81335 -01 12 06.9089          | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia           | 859|   0
37 |* del Ori                |Al*|05 32 00.40009 -00 17 56.7424          | 0.96 | 2.02 | 2.41 | 2.32 | 2.54 |B0III+O9V      | 745|   0
38 |NGC 1980                 |OpC|05 35 24 -05 54.9                      |     ~|     ~| 2.5  |     ~|     ~|~              |  87|   0
39 |* iot Ori                |SB*|05 35 25.9819073 -05 54 35.643537      | 1.45 | 2.53 | 2.77 |     ~|     ~|O9IIIvar       | 733|   0
40 |* alf Lep                |V* |05 32 43.8161188 -17 49 20.241380      | 3.02 | 2.77 | 2.57 | 2.35 | 2.14 |F0Ib           | 271|   0
